firstname,lastname,email,username,password,profile_picture,dob,number,role,bio,major,minor,school
Antonio,Terrell,Antonio.Terrell@outlook.com,Antonio.Terrell,pbkdf2:sha512:150000$qc3tP9v9by$29da93cb0fd97f3438855c3f374a5a4adad68a8c597eb04da9ec2875ca5877498a6fe652a7845fa0ddd295a502300a0ffb8298f76f96566bd8e83d304c7c1763,default.png,08/20/1999,876-431-5773,student,"In 1989 the building was heavily damaged by fire, but it has since been restored. Ports are created with the built-in function open_port. Erlang is known for its designs that are well suited for systems. The arguments can be primitive data types or compound data types.",Information Technology,Computer Science,Northern Caribbean University
Heike,Saunders,Heike.Saunders@yahoo.com,Heike.Saunders,pbkdf2:sha512:150000$IzdM5fvnIP$df8e248089b3aeba68c10774b1b774848ef23a3715acac22894532b975d041b80cddf5afa1a520ea093c7d4a1d4e6c4ecf17b26cb2d16177d8aee3cead5067fe,default.png,06/25/2000,876-724-2791,student,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Erlang is a general-purpose, concurrent, functional programming language. Tuples are containers for a fixed number of Erlang data types. Erlang is a general-purpose, concurrent, functional programming language.",Systems & Network Administration,Information Science,University of Technology
Christoper,Hardy,Christoper.Hardy@gmail.com,Christoper.Hardy,pbkdf2:sha512:150000$8cDguWtUOV$4148db389c74989f8c0d5093cf1ca3c768a4d8e9b4f42ced685a04ec732d2d4edc1d91b41023604a278264e4a9b9171a81a3fd1b529ea8e33cd98ae998932aca,default.png,04/19/1997,876-731-4305,student,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Atoms are used within a program to denote distinguished values. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Any element of a tuple can be accessed in constant time.",Cybersecurity,Computer Science,University of the Commonwealth Caribbean
Trent,Holden,Trent.Holden@outlook.com,Trent.Holden,pbkdf2:sha512:150000$tW9kHM06ig$3fcf5050ed466853b316cba5d6b116a173d29d85862f974fc19f530d15254146ef04680f56386ede10134227bf4a765e7f5d4499b4ba664d68cc8d2e066734b6,default.png,06/04/1999,876-515-8108,student,"Haskell features a type system with type inference and lazy evaluation. She spent her earliest years reading classic literature, and writing poetry. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Ports are created with the built-in function open_port.",Systems & Network Administration,Cybersecurity,Mico University College
Robby,Mckenzie,Robby.Mckenzie@gmail.com,Robby.Mckenzie,pbkdf2:sha512:150000$KZ2o8q9K2I$51e26fbca43e0bb94b607edbdffd7c8bef114b7a0ef82fdbca0145adb01f18aef643add80711be93e347fdd21145076a6d50e21018788005fc8fc396175f97be,default.png,01/01/1995,876-973-2390,student,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Where are my pants? Do you have any idea why this is not working?",Information Science,Cybersecurity,University of the Commonwealth Caribbean
Dante,Steele,Dante.Steele@outlook.com,Dante.Steele,pbkdf2:sha512:150000$gqtpQ9EVfe$96a5322c0e820c916c82dd2be0e66e2c6720c35af563ce9f10dc36826ee0eeb8e3df3a2d77a6bc936ee1066d873397a9506da1e238abedc4b5dccfe8d35cb66e,default.png,02/01/1998,876-833-7583,student,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Its main implementation is the Glasgow Haskell Compiler. Do you have any idea why this is not working? It is also a garbage-collected runtime system.",Information Science,Systems & Network Administration,Mico University College
Trang,Beck,Trang.Beck@yahoo.com,Trang.Beck,pbkdf2:sha512:150000$XqJiYkqVDX$28b46b03d35ed0c4fd3d5d1a425be0dcc0d0f69e0e2ca5fef656512630ff9c360d305346ffbc5e0bf668f29bd4f0a810e0c52d669ea8359a1be11f0525d65318,default.png,04/09/1998,876-321-0258,student,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. The arguments can be primitive data types or compound data types. He looked inquisitively at his keyboard and wrote another sentence. I don't even care.,Cybersecurity,Systems & Network Administration,Shortwood Teachers College
Fredricka,Walls,Fredricka.Walls@yahoo.com,Fredricka.Walls,pbkdf2:sha512:150000$NcILaXzZm2$a14000dd623d34ab9c7f9cc2163676dd595de16a8ff5b563f04f49a66db03a20ba36972e9bb27e1b9c979daf16506ffaa53da551a711619725b4452766b09525,default.png,08/17/1995,876-019-1221,student,"Erlang is known for its designs that are well suited for systems. Haskell features a type system with type inference and lazy evaluation. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Tuples are containers for a fixed number of Erlang data types.",Computer Engineering,Information Technology,University of Technology
Jospeh,Anderson,Jospeh.Anderson@gmail.com,Jospeh.Anderson,pbkdf2:sha512:150000$Wx91gP0Q0r$013f753eb97bc4580f03148a249d3b47f998a88d93ca95525330287db963b0009a4a0c1e6ffb5f7d374376624a9ba8bf44aab277b9e246bdffd7056ce9336d29,default.png,12/10/2004,876-906-9507,student,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Tuples are containers for a fixed number of Erlang data types. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Any element of a tuple can be accessed in constant time.",Information Technology,Computer Science,Shortwood Teachers College
Theola,Gallegos,Theola.Gallegos@outlook.com,Theola.Gallegos,pbkdf2:sha512:150000$uknPKs0EK1$bde921a4723c9095f1ad9cd13b859a335466cd86f78bdcc5a9464bd148bd1f0539f127d76ca2e8b6e8d202691b682c8fefc71847b1a91e914aea6ff6807640c3,default.png,08/17/1994,876-278-0150,student,"Do you come here often? The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Where are my pants? Tuples are containers for a fixed number of Erlang data types.",Information Technology,Information Science,St.Joseph Teachers College
Georgiann,Medina,Georgiann.Medina@gmail.com,Georgiann.Medina,pbkdf2:sha512:150000$kAyZN0GGQQ$8c535eef0f25b170a8e4d37577a2b9f099bbaed1be43256701aae1718116ccacf07730dad51002a9311e197d700444216976cab6db8049b4a8bab802245e2456,default.png,10/19/1997,876-168-2798,student,"Where are my pants? The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. It is also a garbage-collected runtime system. The arguments can be primitive data types or compound data types.",Systems & Network Administration,Computer Science,University of the West Indies
Coreen,Mullen,Coreen.Mullen@gmail.com,Coreen.Mullen,pbkdf2:sha512:150000$UmPMDIOgRx$caaa59da118c72cb441b6e7ed8b3261ba5de201b03ad6247a4099a0dfbd046451f916644ebd774087f822f162be5f8695504a17b640a9e1986ef9f9af1e2a974,default.png,04/05/1995,876-144-3790,student,"Atoms are used within a program to denote distinguished values. Haskell features a type system with type inference and lazy evaluation. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. He looked inquisitively at his keyboard and wrote another sentence.",Information Science,Information Technology,University of the Commonwealth Caribbean
Danial,Roberts,Danial.Roberts@outlook.com,Danial.Roberts,pbkdf2:sha512:150000$NCSow9eqIq$a48a768991f1e833437460cc79b1b3086b26898b6ded2c4607e5cc5526e2d4d1c8e426c1ecfc6a7ffc0486103f813c25ce49297dada276a3729b8af1dac7850c,default.png,11/01/1997,876-070-3128,student,"I don't even care. The arguments can be primitive data types or compound data types. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Atoms are used within a program to denote distinguished values.",Information Systems,Computer Engineering,Mico University College
Eli,Bender,Eli.Bender@gmail.com,Eli.Bender,pbkdf2:sha512:150000$VWRpLCP7RZ$ed328e523dad4deb052186f5d829624132509f4ccab78751ec71391790b4a622185718e2844338d6ec0bc1ffde2303566fbd7bf5be07122fb4cc19eb4eb6518b,default.png,04/20/2003,876-811-5595,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Where are my pants? Erlang is a general-purpose, concurrent, functional programming language. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Systems,Computer Engineering,University of the West Indies
Roland,Huff,Roland.Huff@yahoo.com,Roland.Huff,pbkdf2:sha512:150000$HAgn1xqen8$2a52040e9b41992a00d95dba054dea7be4b5b0945551fbd75875dbbdda398d728b4c86054bf9061ef848e215b719a535cd6e48e9c93b0eb370a494a71b697f96,default.png,02/25/1995,876-316-4903,student,"It is also a garbage-collected runtime system. She spent her earliest years reading classic literature, and writing poetry. Tuples are containers for a fixed number of Erlang data types. She spent her earliest years reading classic literature, and writing poetry.",Information Science,Information Science,University of Technology
Rochell,Cook,Rochell.Cook@yahoo.com,Rochell.Cook,pbkdf2:sha512:150000$fHXwj5nNoO$d05731550052db95fe2f1d0d201c9509d45a57804c409259c52a0813f9dcb406ea353d9f058affeb0f13488643d823526cf340a5d1838fa0c2fa453f7c6242a3,default.png,04/19/2003,876-160-4687,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Tuples are containers for a fixed number of Erlang data types. Ports are created with the built-in function open_port. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Systems & Network Administration,Systems & Network Administration,St.Joseph Teachers College
Shirley,Shields,Shirley.Shields@outlook.com,Shirley.Shields,pbkdf2:sha512:150000$wa8zDNsiaC$62c99c5798b1b2644ca8c1358109d402b78789743b78b44dc787c8546eaec49315200390545760ebc5765cfe59be57eeaa9c36bc63e276c97ad920754edc85b1,default.png,11/26/2001,876-140-5102,student,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Its main implementation is the Glasgow Haskell Compiler. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. I don't even care.",Systems & Network Administration,Systems & Network Administration,University of the West Indies
Shiloh,Hansen,Shiloh.Hansen@gmail.com,Shiloh.Hansen,pbkdf2:sha512:150000$YA5JQBv0fq$5adf65ff247cc1e26910c69c0db9232201082f6d390bbe2106364dc84d36f533cc067507813a6d3d64e9c8e7759eb72cdda13611dd61e567737992d0ffec2496,default.png,09/28/2003,876-767-8216,student,"Tuples are containers for a fixed number of Erlang data types. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. The arguments can be primitive data types or compound data types. They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",Systems & Network Administration,Computer Engineering,University of Technology
Lynell,Weber,Lynell.Weber@gmail.com,Lynell.Weber,pbkdf2:sha512:150000$LVTFzMQGXH$8ee02cf87e991b127f7f263c457afd46c250884d8cf990f393eefca92fa163389dbb380003314ea84afa14eba46f766323f77c3091e28424031563446d09cabe,default.png,04/18/1999,876-371-0951,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The arguments can be primitive data types or compound data types. She spent her earliest years reading classic literature, and writing poetry. Its main implementation is the Glasgow Haskell Compiler.",Computer Science,Systems & Network Administration,Northern Caribbean University
Valentin,Craft,Valentin.Craft@gmail.com,Valentin.Craft,pbkdf2:sha512:150000$lKWTxhgjTv$063c971338f7c70dd3b5bcfe0e7670d0f5047e7d7ded018dec113f47f6a48d815cd5803312635cce934344ab61ac1c5dc2a8a81f0e2799d778a5c2f347ccef4d,default.png,12/24/1996,876-910-8020,student,"Tuples are containers for a fixed number of Erlang data types. Ports are created with the built-in function open_port. The arguments can be primitive data types or compound data types. She spent her earliest years reading classic literature, and writing poetry.",Information Systems,Computer Science,Northern Caribbean University
Eleonor,Thomas,Eleonor.Thomas@gmail.com,Eleonor.Thomas,pbkdf2:sha512:150000$g22A5HsVnS$b2cd28866c4183558ef9cabd812874acba8541f020ebf51de9bc1bfa7f26387826446cc62528f3e93f64429834198cf23a3e6e01c0af88a057ff3e3c466dbc1f,default.png,04/28/1999,876-119-4554,student,"Tuples are containers for a fixed number of Erlang data types. In 1989 the building was heavily damaged by fire, but it has since been restored. Erlang is a general-purpose, concurrent, functional programming language. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Science,Cybersecurity,Shortwood Teachers College
Spencer,Alvarado,Spencer.Alvarado@yahoo.com,Spencer.Alvarado,pbkdf2:sha512:150000$Yo5q5BU2Pc$af4219825476ceb5e8f346f86c4663a912cd4c46843aefcf3d2dc6792cfbf00c05d790b1bc2b4c4bca68cb8d5b611227f5fbdd5820fb33d98ecd4af8b5cbbe82,default.png,11/02/1999,876-416-7857,student,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase. She spent her earliest years reading classic literature, and writing poetry. She spent her earliest years reading classic literature, and writing poetry. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Cybersecurity,Information Technology,Shortwood Teachers College
Shawn,Morton,Shawn.Morton@outlook.com,Shawn.Morton,pbkdf2:sha512:150000$16bmsaB92s$a2b61cadc386fb90da96a7784da9c835706941150216f31c139e8c537fc974e72198f37c227cb881a5b7b0397bf60896f328ae058c01025cd2a5005b844371fc,default.png,07/02/2002,876-714-8797,student,"Where are my pants? Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Systems & Network Administration,Systems & Network Administration,Mico University College
Malcolm,Gibbs,Malcolm.Gibbs@outlook.com,Malcolm.Gibbs,pbkdf2:sha512:150000$6UboO16BaX$ce8eb00d31060b40aa5bc300e7a19388860261885d34c0dd250e662a6db22a982dbd34635749afc55a88269b95645e290a0e8d881a259d8048a992ec7e968c07,default.png,12/28/1999,876-420-7638,student,Type classes first appeared in the Haskell programming language. Erlang is known for its designs that are well suited for systems. Where are my pants? Erlang is known for its designs that are well suited for systems.,Information Systems,Information Technology,University of the West Indies
Lavern,White,Lavern.White@gmail.com,Lavern.White,pbkdf2:sha512:150000$QDyeRbxAzS$6ef9cfc92cdb25ba1f8befb46a51ac0093327dde83ca2b78e779aaf845f7b93237b296c9069c111a52410ee8ace860843e46ebff388b4173f702f2b1183469a7,default.png,09/11/1995,876-058-2615,student,"Atoms are used within a program to denote distinguished values. It is also a garbage-collected runtime system. Any element of a tuple can be accessed in constant time. In 1989 the building was heavily damaged by fire, but it has since been restored.",Cybersecurity,Cybersecurity,University of the Commonwealth Caribbean
Josiah,Campos,Josiah.Campos@yahoo.com,Josiah.Campos,pbkdf2:sha512:150000$uU3A9Ms0u3$fa306ffbe6a290b52eb7f2b83b2b84793443c366fb81620608c7650265d663a3e0d9a410bc17a489e6541c1e8a80a4aed66af63aa664f75aeee368c1673317e9,default.png,07/27/2004,876-236-1577,student,"Erlang is a general-purpose, concurrent, functional programming language. It is also a garbage-collected runtime system. Haskell features a type system with type inference and lazy evaluation. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Systems,Computer Engineering,University of the Commonwealth Caribbean
Beula,Bennett,Beula.Bennett@outlook.com,Beula.Bennett,pbkdf2:sha512:150000$mfqKUHBilN$c3c6190074b1a10afcb6b29e0e2b982ff296e0893abca070304a3844ba36bd0d81e075db844fc074f61af15f9e840c11fc87293b90f1558566d7a92b65b15dcf,default.png,03/16/1997,876-389-9843,student,"Make me a sandwich. Erlang is known for its designs that are well suited for systems. Any element of a tuple can be accessed in constant time. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Systems & Network Administration,Computer Science,Northern Caribbean University
Ardelia,Ferrell,Ardelia.Ferrell@yahoo.com,Ardelia.Ferrell,pbkdf2:sha512:150000$R8njPCMzNC$2b8190d0ab3df99596c815895db5823b6b56c45c5ec22916fd366dd5ebe066a7d5b76d4729a16f445b11cb59529ea72390babdb2e3ac734b6682f95958668075,default.png,11/03/2003,876-874-5618,student,"Ports are created with the built-in function open_port. Erlang is a general-purpose, concurrent, functional programming language. Make me a sandwich. Erlang is a general-purpose, concurrent, functional programming language.",Systems & Network Administration,Cybersecurity,Northern Caribbean University
Eliseo,Haynes,Eliseo.Haynes@yahoo.com,Eliseo.Haynes,pbkdf2:sha512:150000$EkwQeFa5r9$91e4158c1fead9153368a9a520e5681edc54d922543a76bb906a6e06d6446e1104d49237b9e5f48d4d1a50f6802dfbccbb01a0a45bf2cb1b048cb3a841b43443,default.png,08/16/1994,876-226-7612,student,"It is also a garbage-collected runtime system. Type classes first appeared in the Haskell programming language. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. The arguments can be primitive data types or compound data types.",Cybersecurity,Systems & Network Administration,Mico University College
Errol,Morales,Errol.Morales@gmail.com,Errol.Morales,pbkdf2:sha512:150000$4XiFzUlBz2$0c9a30078ba92bcfe8d1f26879bbbcbb64e13a609bb41f7cff1b808a8896f093ed2f8dc6dbdf95114af2368129f9e0e9a3236ccdfa590cdad416999f327d2252,default.png,01/08/1998,876-609-0492,student,Where are my pants? Atoms are used within a program to denote distinguished values. The arguments can be primitive data types or compound data types. Erlang is known for its designs that are well suited for systems.,Cybersecurity,Systems & Network Administration,University of Technology
Giovanni,Frank,Giovanni.Frank@gmail.com,Giovanni.Frank,pbkdf2:sha512:150000$zP1vdz4A0U$fa00611e0d280778bf7dce7adce99d083904b98d692c5b70406cee653b5bb74b94a4c14007bce2615f6c6371b16ef2c3816c78118d7a599284934547c8902c9a,default.png,01/07/2003,876-884-8310,student,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Atoms are used within a program to denote distinguished values. Erlang is known for its designs that are well suited for systems.",Cybersecurity,Cybersecurity,University of Technology
Lili,Simon,Lili.Simon@outlook.com,Lili.Simon,pbkdf2:sha512:150000$sgqD9LFIvk$ad82981eb52fd0f8d41f3cca30ce1a3105476ef921dab4d75c84ef35f00dd7b3e7c0e2ba14c8e059118de741eb1942d453cc40a4c82108ee1a1197bf6e483d76,default.png,12/20/1998,876-809-4682,student,"She spent her earliest years reading classic literature, and writing poetry. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Make me a sandwich. Do you come here often?",Computer Engineering,Information Science,University of Technology
Jesus,Mason,Jesus.Mason@gmail.com,Jesus.Mason,pbkdf2:sha512:150000$eQlFhLr6uA$e7895ec69ece60b7992a0005f5baed542d7e61d6b680c4e78d1a309b9867db6e2a11a2ba797f6f3e9adea0c0478f6ab61a0249ec1704aa9a8592785fdb60c900,default.png,12/10/1999,876-536-9024,student,"Type classes first appeared in the Haskell programming language. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Atoms are used within a program to denote distinguished values. It is also a garbage-collected runtime system.",Information Systems,Information Technology,Northern Caribbean University
Merlin,Richards,Merlin.Richards@gmail.com,Merlin.Richards,pbkdf2:sha512:150000$eLJShNuxMG$dfb40b8bcea46add28f6075848ee196420d5632968bbf83896ffe52c496bb4a694694b4b9b1a168b3cde35c97f12b5b78d20ab517e591204c18de6c2346ddd0d,default.png,05/01/2000,876-131-5658,student,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",Systems & Network Administration,Cybersecurity,Shortwood Teachers College
Xavier,Turner,Xavier.Turner@outlook.com,Xavier.Turner,pbkdf2:sha512:150000$pxZbE6QwJx$6db89e92f6fa02715e304c25ab3cdfb2adf553dfa5f587f04697e85a5368599201939cf70e5c12d0644f525616df89679098eab2b2d8534867ee7ebbb8031674,default.png,02/15/2002,876-109-8541,student,"Do you come here often? Atoms are used within a program to denote distinguished values. Erlang is known for its designs that are well suited for systems. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Computer Engineering,Systems & Network Administration,University of Technology
Tonie,Bridges,Tonie.Bridges@outlook.com,Tonie.Bridges,pbkdf2:sha512:150000$fQAQFl1bhn$cff9e56ade5186cf17dc43bf1dfba604ca5482000ab8d99723ecc5cb762324e84acf12cbc4a258c08e1e9f65cde3e386fc9cc210552f9df6b53e3aec64a61261,default.png,02/03/1995,876-537-2602,student,"It is also a garbage-collected runtime system. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Erlang is known for its designs that are well suited for systems. The arguments can be primitive data types or compound data types.",Information Science,Information Technology,University of the Commonwealth Caribbean
Kamilah,Colon,Kamilah.Colon@outlook.com,Kamilah.Colon,pbkdf2:sha512:150000$UmEYGfnqPj$106ba2aac254491868a1096d8feeaa8f99d79218f9ef4ea8fe83cc706bac6e9174ea00dc971043082d8abb55c930a6b4c831785547285a1e0557114f1f4fbad0,default.png,07/08/2002,876-395-2360,student,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Erlang is a general-purpose, concurrent, functional programming language. Atoms are used within a program to denote distinguished values.",Information Science,Computer Engineering,Northern Caribbean University
Abraham,Salazar,Abraham.Salazar@gmail.com,Abraham.Salazar,pbkdf2:sha512:150000$GUZ5p6Ixvq$24586d893a8a71a2d65364c2c9ea6b95290b97a322c4f54c86fed1697c7b55baa96ee5bacabff139da5a0e3d57d265ab78e989899074df669ea0863321fca1a9,default.png,05/09/1998,876-259-3807,student,"She spent her earliest years reading classic literature, and writing poetry. Any element of a tuple can be accessed in constant time. The arguments can be primitive data types or compound data types. She spent her earliest years reading classic literature, and writing poetry.",Information Systems,Computer Engineering,University of the Commonwealth Caribbean
Alica,Hunter,Alica.Hunter@gmail.com,Alica.Hunter,pbkdf2:sha512:150000$5dlNCjjgKb$46e64c29b05ef4aa3df9e7ef87d9e7471bac72447d4122e123a4d6738c0ccb4d8b7873364d94f81e29ac8577223ff3decb7ca2750b3473552f8479d4959f0e2c,default.png,08/01/2004,876-213-5255,student,I don't even care. It is also a garbage-collected runtime system. Haskell features a type system with type inference and lazy evaluation. I don't even care.,Computer Engineering,Information Systems,University of the Commonwealth Caribbean
