firstname,lastname,email,username,password,profile_picture,dob,number,bio,major,minor,school
Gregory,Bryant,Gregory.Bryant@yahoo.com,Needlestone.Chela,pbkdf2:sha512:150000$vRqN4VNObp$ea98c3680e3cc043d505723a260898cc9edd1453bb30c4940f98749269b066a10f9003dd25f2c3e0ae47c8a2c62137acf56e4f94ac045020f7392e4af8da33da,default.png,06/15/1994,876-484-9176,"The arguments can be primitive data types or compound data types. In 1989 the building was heavily damaged by fire, but it has since been restored. Erlang is known for its designs that are well suited for systems. Erlang is known for its designs that are well suited for systems. It is also a garbage-collected runtime system. Erlang is a general-purpose, concurrent, functional programming language.",Systems & Network Administration,Computer Science,Mico University College
Ivelisse,Davidson,Ivelisse.Davidson@outlook.com,Corina.Votresses,pbkdf2:sha512:150000$1QYH0rVUWK$f7cb3334b5906f468270bb67b4745fe8a401a3a3b38382ca52eacf67f02dbccd7ddaaec7ee74f646f046c18e1c800cc9139bb2c5fc5f0e5799dccd61c5757d12,default.png,04/23/1995,876-880-2520,"Do you come here often? In 1989 the building was heavily damaged by fire, but it has since been restored. It is also a garbage-collected runtime system. Make me a sandwich. The arguments can be primitive data types or compound data types. Erlang is known for its designs that are well suited for systems.",Information Systems,Computer Engineering,Northern Caribbean University
Henry,Holman,Henry.Holman@outlook.com,Unsquirming.Alexis,pbkdf2:sha512:150000$FGITjui9nF$ebc11f73e82c150586807a1bf15d34acd18e4360ac67219c48e924495ff02be5bcc4dd52794f47e0fa45ba85ce760bb5e02387daafad05ff09bfd46722e1b4b6,default.png,07/17/1999,876-022-4026,"Haskell features a type system with type inference and lazy evaluation. Make me a sandwich. The arguments can be primitive data types or compound data types. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Type classes first appeared in the Haskell programming language. Erlang is known for its designs that are well suited for systems.",Systems & Network Administration,Information Systems,St.Joseph Teachers College
Mora,Bailey,Mora.Bailey@outlook.com,Recharger.Creeps,pbkdf2:sha512:150000$W1VW3R20jx$537442611edcc0c1131b103a0e383d7fa7553dc3fc79dab43093ecfae4ca69998064b8f92c306f71638725fe40afe1e81575cc6faec59016c61d6ad3f6c7d802,default.png,03/31/2003,876-970-5747,"Tuples are containers for a fixed number of Erlang data types. Ports are created with the built-in function open_port. Its main implementation is the Glasgow Haskell Compiler. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Type classes first appeared in the Haskell programming language. Its main implementation is the Glasgow Haskell Compiler.",Computer Engineering,Computer Science,Shortwood Teachers College
Peter,Hunter,Peter.Hunter@outlook.com,Double.Depraved,pbkdf2:sha512:150000$q0GJQBQHvG$69f9375867f161c7ffef38eef0d3b13547c5bc20d95c28d3be7ed73fc98ac1aaf37167de7e394b846b9f95574fada977e038492f02077c93b3dc3696e3686956,default.png,05/26/2002,876-872-3767,"Type classes first appeared in the Haskell programming language. Atoms are used within a program to denote distinguished values. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Its main implementation is the Glasgow Haskell Compiler.",Information Technology,Computer Science,Mico University College
Kent,Moody,Kent.Moody@outlook.com,Rabbitmouth.Danceable,pbkdf2:sha512:150000$42NO9pLdEF$195802cb0c00f5b791c3822d3edc2493cabf99f1cc40375924df7125523021ba675003c06e290166d24a6d08a27b2aa54b6f8f9a23ca98de759d838e4846ff4d,default.png,01/26/1996,876-538-5625,"In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell features a type system with type inference and lazy evaluation. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. I don't even care.",Information Science,Systems & Network Administration,University of the West Indies
Elli,Mcbride,Elli.Mcbride@outlook.com,Crataegus.Internetwork,pbkdf2:sha512:150000$qSYikMZAT9$117ff8d7ddc6f2bc7fecd80cb0b246e5192f853878be15d214a05a72d2c0477211f114d936775e893fcf930541c1cbe26d98fc26e90e72f4f9d663a576972cb8,default.png,04/30/1998,876-012-1382,"Any element of a tuple can be accessed in constant time. Where are my pants? Ports are used to communicate with the external world. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Ports are created with the built-in function open_port. I don't even care.",Systems & Network Administration,Computer Science,University of the West Indies
Sharan,Kennedy,Sharan.Kennedy@yahoo.com,Norms.Bureaus,pbkdf2:sha512:150000$6DlCP9kfs6$7bde89ea465ba42787b12053f2ee010b51521f1b3a158b1d11ed8a1bb78f7434f7bd066625af56641193e7135823cf1803ab1de8fa6c8244beaefac788768618,default.png,08/05/1995,876-708-9694,"Ports are created with the built-in function open_port. The arguments can be primitive data types or compound data types. Erlang is a general-purpose, concurrent, functional programming language. In 1989 the building was heavily damaged by fire, but it has since been restored. Make me a sandwich. Do you come here often?",Cybersecurity,Computer Science,University of Technology
Don,Barker,Don.Barker@outlook.com,Termite.Orthognathy,pbkdf2:sha512:150000$OVKqEDvJ8U$2a9deae30ae05cc73751558488ee5b65bbaa38f3e35b1782cfe6e10b7b2b5f9816a149717035cd4ef58ab2c45b7dbd205fa5b9e50fc65c6683940678469e3fce,default.png,10/23/1997,876-524-1117,"Haskell features a type system with type inference and lazy evaluation. Do you come here often? Ports are created with the built-in function open_port. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Do you come here often? In 1989 the building was heavily damaged by fire, but it has since been restored.",Computer Engineering,Computer Engineering,St.Joseph Teachers College
Deon,Tate,Deon.Tate@outlook.com,Claimer.Tuatera,pbkdf2:sha512:150000$RVdXtUR5k4$295fa93902f7d2d6b074764f74a7adcba6a11e4c958eac50bcf24432e1e42c6612a3f8f54dc2cff9b0385157d509c660073d0b20c408620aa0fd3bf3afd2446b,default.png,05/10/1996,876-726-9971,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Erlang is a general-purpose, concurrent, functional programming language. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Atoms are used within a program to denote distinguished values. It is also a garbage-collected runtime system. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Technology,Information Science,Northern Caribbean University
Jessika,Kidd,Jessika.Kidd@yahoo.com,Eleanore.Lovebirds,pbkdf2:sha512:150000$7ggLhAb1Wg$2ebf949b5c9d392677182382976c52561bf8146345ff9c34952f5ad6173accaf551c5feba05c9a8860708031849ba291c1fd65108dad3ac2e5513f03434ab66f,default.png,08/18/1998,876-869-6509,"The arguments can be primitive data types or compound data types. Do you have any idea why this is not working? The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Erlang is known for its designs that are well suited for systems. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Ports are used to communicate with the external world.",Systems & Network Administration,Computer Engineering,St.Joseph Teachers College
Carolin,Cooley,Carolin.Cooley@yahoo.com,Slaters.Bergaptene,pbkdf2:sha512:150000$4sqgE5fAuV$01bd970ab454821740bda95470becc4ba7d021d65a7cebf4d754d6fe89ef26fbc9be972807b359da8f90fb74aa92dc889a8a8da83e75c9646ba84dae47233d83,default.png,03/29/1996,876-274-6893,Type classes first appeared in the Haskell programming language. The arguments can be primitive data types or compound data types. Any element of a tuple can be accessed in constant time. Do you have any idea why this is not working? The arguments can be primitive data types or compound data types. Type classes first appeared in the Haskell programming language.,Information Systems,Information Science,St.Joseph Teachers College
Landon,Rowe,Landon.Rowe@outlook.com,Focally.Molar,pbkdf2:sha512:150000$1v3QmyQr9q$3064356e13b2f6026d35e4bedc2f438e1f674443d40a93ee0404a620684b4669f1dac1c20beb99d12d0befdb7458e405e1de4e46257738c202584631c7cab8ea,default.png,08/05/1996,876-681-9118,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Erlang is a general-purpose, concurrent, functional programming language. In 1989 the building was heavily damaged by fire, but it has since been restored. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. In 1989 the building was heavily damaged by fire, but it has since been restored.",Cybersecurity,Computer Science,St.Joseph Teachers College
Luther,Brock,Luther.Brock@yahoo.com,Pedlers.Exogen,pbkdf2:sha512:150000$ubZkuhzdGS$614c40aa126a9bf8bff3c2815ebcee573cd4c386ab61d803847292b776a9393fab631f859778e87ea41fd448e6e9275d52bdec89afd25c1a9c93e0ef97ad6bd3,default.png,01/06/1997,876-450-2955,"In 1989 the building was heavily damaged by fire, but it has since been restored. Haskell features a type system with type inference and lazy evaluation. Do you have any idea why this is not working? Make me a sandwich. He looked inquisitively at his keyboard and wrote another sentence. Do you have any idea why this is not working?",Cybersecurity,Computer Science,Shortwood Teachers College
Lorina,Greene,Lorina.Greene@yahoo.com,Stripling.Goldfinch,pbkdf2:sha512:150000$3u8DNPcFLZ$9d9944beb11c3ab9b08c0542ee4966f53126d2c98476d97bcef7947aa0ff08eeb04ec80fb3279dc37ad1a972d5a19004249a584c3fcfe6bd81f4c4dbccd5d80c,default.png,05/13/1996,876-293-8038,"Erlang is a general-purpose, concurrent, functional programming language. He looked inquisitively at his keyboard and wrote another sentence. Atoms are used within a program to denote distinguished values. Haskell features a type system with type inference and lazy evaluation. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Information Systems,Computer Science,St.Joseph Teachers College
Erasmo,Workman,Erasmo.Workman@outlook.com,Thunderstorm.Salutatious,pbkdf2:sha512:150000$NFgXIlCdjy$618abfb5435dfe7f0856250d69f5001543eb1ed4531ea3076e85880b36b1ab7a9a97ba9a3800387dc9906589fdb4aa6bd1dd3287a6dde237880f24e637c5aed1,default.png,01/20/2003,876-234-2407,Ports are created with the built-in function open_port. Atoms are used within a program to denote distinguished values. Ports are created with the built-in function open_port. The arguments can be primitive data types or compound data types. Type classes first appeared in the Haskell programming language. It is also a garbage-collected runtime system.,Information Science,Information Systems,Shortwood Teachers College
Carmelo,Tate,Carmelo.Tate@gmail.com,Sylvin.Pendative,pbkdf2:sha512:150000$5Ac4b9PyGX$c606a442315f3d37260ac46ea2ce4b5cd9bc4269843af77009641cdb1affeb0dcc2f405ffa7aea75d70393d2930af2bc82098db46c853680ed2a5762054f76b0,default.png,02/18/1999,876-420-0580,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. In 1989 the building was heavily damaged by fire, but it has since been restored. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. He looked inquisitively at his keyboard and wrote another sentence. Its main implementation is the Glasgow Haskell Compiler. Erlang is a general-purpose, concurrent, functional programming language.",Computer Engineering,Information Systems,University of the Commonwealth Caribbean
Ike,Webster,Ike.Webster@yahoo.com,Mandatary.Satirically,pbkdf2:sha512:150000$ht3iQtUL9k$638eda11f0248052d38610a30a8c5e4dab0ed5855af8abf82c1203a0ce16353871d190d8e566627905e7d5cf4934306fe88522a4a040bde4d25e6ee7da8e958c,default.png,11/07/1999,876-216-4662,"Do you come here often? The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Haskell features a type system with type inference and lazy evaluation. Make me a sandwich. Where are my pants?",Computer Science,Information Systems,Mico University College
Rheba,Barber,Rheba.Barber@gmail.com,Monkey.Aftercourse,pbkdf2:sha512:150000$TnKzxuvMjB$b0200f6c3d3d5eef4df4bf83574b722aa8bea2a6b98e075039d7ebab9e12f9a5f7dc041c48dd6aee6df31a9c881abee4df8201913b59b78f42c88be0b0dd6b32,default.png,08/08/1996,876-684-1351,"Any element of a tuple can be accessed in constant time. He looked inquisitively at his keyboard and wrote another sentence. In 1989 the building was heavily damaged by fire, but it has since been restored. Its main implementation is the Glasgow Haskell Compiler. I don't even care. Its main implementation is the Glasgow Haskell Compiler.",Systems & Network Administration,Information Systems,University of the Commonwealth Caribbean
Rex,Wheeler,Rex.Wheeler@yahoo.com,Abatis.Borated,pbkdf2:sha512:150000$kYnqT0lLfq$6d0d8279da4f06405afd32e527073ae41c876e9840b98b3f39d2bf47e8242eef363f9832eeaa29b8685d510a1645b7d6696b660799bbd41a0094e9e4499c9fba,default.png,03/01/1999,876-635-0021,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. The arguments can be primitive data types or compound data types. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Erlang is known for its designs that are well suited for systems. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Do you have any idea why this is not working?",Computer Engineering,Computer Engineering,Mico University College
Eleonore,Garza,Eleonore.Garza@outlook.com,Usaron.Wrinkle,pbkdf2:sha512:150000$EDXSRoLgKY$290f5afb897c8c124a595dd87ee961d745ebd8991afdc098205c0b194dbc5b8e068a2d93c9b38eb99336e7e16d2a99bf00f41b1aa06227b453a9a605ba550103,default.png,08/07/2003,876-069-4588,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. The arguments can be primitive data types or compound data types. In 1989 the building was heavily damaged by fire, but it has since been restored. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Its main implementation is the Glasgow Haskell Compiler. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Science,Information Systems,Mico University College
Jannet,Frost,Jannet.Frost@yahoo.com,Prevaluation.Elianora,pbkdf2:sha512:150000$wGwaezlqip$049236e1f77a8a6e46e2301afb0cecf92c03a548ebcf8654e87e6bfdb7a73f46cd9d33d6c9b2272ac3e23c03dd72e916bca74407961106c52df67b44a3ef85dc,default.png,11/28/2002,876-109-8580,"Type classes first appeared in the Haskell programming language. The arguments can be primitive data types or compound data types. It is also a garbage-collected runtime system. The arguments can be primitive data types or compound data types. I don't even care. Erlang is a general-purpose, concurrent, functional programming language.",Information Systems,Computer Engineering,Northern Caribbean University
Lauran,Mosley,Lauran.Mosley@gmail.com,Entach.Creecy,pbkdf2:sha512:150000$Y8wLHoKHAr$9de352ac2c53f6d7dc5cd2a18f831b9e414aab6f2ebdfb47f8600f7b212f3f7c5a3baeefe6dcf8dd2a08bf9b0b36c3b96bac6a3e4063c30195ef273a392c8748,default.png,03/09/1999,876-854-7012,"Erlang is a general-purpose, concurrent, functional programming language. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Ports are created with the built-in function open_port. Its main implementation is the Glasgow Haskell Compiler. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Do you come here often?",Information Science,Information Systems,Northern Caribbean University
Lanelle,Mcneil,Lanelle.Mcneil@yahoo.com,Everyone.Habilimented,pbkdf2:sha512:150000$Pk2Tc4BQVY$7deeb902219c2ecd20fdc1ace5867a7e13efc9174a208e69e2f7ece02b329cebbc086b92036916061b4ab07e5f6f6a71eb3b6ef754bc3f9d1de34206cc9eed9e,default.png,05/07/1996,876-966-3680,"I don't even care. Erlang is a general-purpose, concurrent, functional programming language. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Haskell features a type system with type inference and lazy evaluation. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Haskell features a type system with type inference and lazy evaluation.",Computer Engineering,Systems & Network Administration,University of Technology
Faustino,Stewart,Faustino.Stewart@gmail.com,Snowshoe.Strepsiceros,pbkdf2:sha512:150000$AVHXTVFJOM$efe7320c7c5c98fd3145b1253acbb45cbf2e1ba8942939d98440231f9af47709cf59cd8679f829d9fbd947ef641f6d33fd8d17ddea68c85eb1d749650923f2bf,default.png,09/28/1994,876-569-2279,"Ports are used to communicate with the external world. Do you come here often? Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Erlang is a general-purpose, concurrent, functional programming language. Tuples are containers for a fixed number of Erlang data types. Haskell features a type system with type inference and lazy evaluation.",Information Systems,Computer Engineering,Northern Caribbean University
Maragaret,Hughes,Maragaret.Hughes@yahoo.com,Illano.Razzmatazz,pbkdf2:sha512:150000$zNnrInIt80$89b9079dbddb444e3e0554435ec998d196f83425fbf7b81b37a06dda847623c13a3e065732acf01e1f2da1c9f13bc02952fd94f348df91573b318f96186662dd,default.png,05/28/1998,876-250-3070,"I don't even care. Atoms are used within a program to denote distinguished values. In 1989 the building was heavily damaged by fire, but it has since been restored. Its main implementation is the Glasgow Haskell Compiler. In 1989 the building was heavily damaged by fire, but it has since been restored. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Information Science,Information Science,Northern Caribbean University
Louie,Hampton,Louie.Hampton@outlook.com,Laryngismal.Afterglow,pbkdf2:sha512:150000$JEiOlK0BFm$27a64ccefdd6c3e0aef158f2ddbf3364b652f776ff1dc615511d5ff48b24f9c4fc5d2541786969978c9050dd71daf347cd8271386c8fbcac272d0b615a291549,default.png,03/06/2004,876-368-7622,"Atoms are used within a program to denote distinguished values. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Its main implementation is the Glasgow Haskell Compiler. Do you have any idea why this is not working? Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" In 1989 the building was heavily damaged by fire, but it has since been restored.",Systems & Network Administration,Information Science,University of Technology
Charlie,Wolf,Charlie.Wolf@yahoo.com,Reservery.Runaround,pbkdf2:sha512:150000$WatXdfqYr6$8b45f04c0639844c62d11e7a44482ed0c49577d1f59e304abd64a29d388cb716535a915bf2bfefbac8e3ed71840090a3b9a77ebb41471f4fbb0f7a340164e047,default.png,03/16/1994,876-913-0345,The arguments can be primitive data types or compound data types. Erlang is known for its designs that are well suited for systems. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Do you have any idea why this is not working? Do you come here often? Atoms are used within a program to denote distinguished values.,Information Science,Systems & Network Administration,University of the West Indies
Craig,Garza,Craig.Garza@yahoo.com,Hysterodynia.Contemptuous,pbkdf2:sha512:150000$uGUIc4Xy6o$8ff6e5b252ee73544a9eed51254834800464a994d4ab3bb71c55634424dd29790ebb3f2290652ad5c93ebe83bdb694e56ca4d0551fec118b8713e11066e4cc44,default.png,03/23/1998,876-228-1474,I don't even care. Type classes first appeared in the Haskell programming language. Type classes first appeared in the Haskell programming language. I don't even care. Its main implementation is the Glasgow Haskell Compiler. He looked inquisitively at his keyboard and wrote another sentence.,Cybersecurity,Information Technology,Mico University College
Edra,Delaney,Edra.Delaney@outlook.com,Mogul.Allen,pbkdf2:sha512:150000$4jDLqUWrKs$cb60ce88c4cf165088be38b7b559df43b7798c9898bab778cefc55bcea732956b9bda40287603ea32656b7aa03e9444e8e188c8f2ca9a63f429f2987eab179a0,default.png,01/03/1997,876-096-0046,"Haskell features a type system with type inference and lazy evaluation. Ports are created with the built-in function open_port. Make me a sandwich. She spent her earliest years reading classic literature, and writing poetry. Do you have any idea why this is not working? Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Computer Engineering,Information Systems,University of the Commonwealth Caribbean
Joslyn,Savage,Joslyn.Savage@outlook.com,Anabel.Anime,pbkdf2:sha512:150000$8lD4L8dB8C$8fbace5c592749f29dbd50c796f96534f106647c21997fd4e1bf330969baf3b00383314b8357dc83851191f70255ae4be535972db8e3cfe083a0906600788adf,default.png,03/06/1997,876-950-1853,"It is also a garbage-collected runtime system. In 1989 the building was heavily damaged by fire, but it has since been restored. The arguments can be primitive data types or compound data types. It is also a garbage-collected runtime system. It is also a garbage-collected runtime system. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",Computer Science,Computer Science,Shortwood Teachers College
Micah,Hull,Micah.Hull@yahoo.com,Dextro.Dustman,pbkdf2:sha512:150000$h3iJ7e1sdr$e115c2275c542fbb2432e4d4574f1e83ba1c4a9526ea8a4c09b53fdbe5b7951019ef99baa82101cb73302225bc147934f0601252377805323ff4eaee5ef42fa8,default.png,12/24/2000,876-956-2551,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Its main implementation is the Glasgow Haskell Compiler. Do you have any idea why this is not working? Its main implementation is the Glasgow Haskell Compiler. Any element of a tuple can be accessed in constant time. Haskell features a type system with type inference and lazy evaluation.",Computer Science,Systems & Network Administration,University of Technology
Jimmy,Daugherty,Jimmy.Daugherty@yahoo.com,Instructorless.Bleach,pbkdf2:sha512:150000$4Af9mnzGS6$84bb2f53a03ba6ca122eeabe304e6033cfc41f67fb3d5970351d2af3d31fd4de59d00cae5c35921b0c40eb5ff28b552837f294d129afc575edbcbd3b55bf961a,default.png,12/25/1994,876-070-3070,"Make me a sandwich. Erlang is a general-purpose, concurrent, functional programming language. Haskell features a type system with type inference and lazy evaluation. Erlang is a general-purpose, concurrent, functional programming language. Atoms are used within a program to denote distinguished values. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Technology,Systems & Network Administration,Northern Caribbean University
